Date,ES=F,NQ=F
2015-01-02,2046.25,4214.25
2015-01-05,2016.0,4161.75
2015-01-06,1994.5,4102.25
2015-01-07,2019.5,4151.5
2015-01-08,2055.0,4232.25
2015-01-09,2035.25,4200.75
2015-01-12,2022.5,4166.5
2015-01-13,2016.0,4158.5
2015-01-14,2007.5,4145.5
2015-01-15,1989.0,4089.0
2015-01-16,2013.0,4134.0
2015-01-20,2016.75,4167.0
2015-01-21,2026.5,4182.75
2015-01-22,2056.5,4264.75
2015-01-23,2044.0,4267.0
2015-01-26,2053.5,4269.25
2015-01-27,2030.0,4177.5
2015-01-28,1991.5,4124.25
2015-01-29,2018.5,4185.75
2015-01-30,1988.5,4141.25
2015-02-02,2017.0,4185.5
2015-02-03,2042.0,4216.25
2015-02-04,2030.0,4204.0
2015-02-05,2055.0,4247.5
2015-02-06,2053.0,4227.5
2015-02-09,2042.5,4214.25
2015-02-10,2062.25,4276.0
2015-02-11,2065.75,4296.5
2015-02-12,2084.0,4344.75
2015-02-13,2093.5,4377.0
2015-02-17,2096.0,4381.75
2015-02-18,2095.5,4386.0
2015-02-19,2095.25,4413.25
2015-02-20,2107.0,4438.0
2015-02-23,2106.75,4444.5
2015-02-24,2113.75,4450.25
2015-02-25,2110.25,4436.75
2015-02-26,2110.0,4461.75
2015-02-27,2102.75,4442.5
2015-03-02,2114.0,4477.0
2015-03-03,2104.75,4456.5
2015-03-04,2096.5,4444.25
2015-03-05,2099.75,4449.5
2015-03-06,2070.75,4405.0
2015-03-09,2077.75,4413.5
2015-03-10,2042.0,4331.25
2015-03-11,2039.5,4307.5
2015-03-12,2064.0,4330.75
2015-03-13,2049.75,4308.75
2015-03-16,2076.5,4359.5
2015-03-17,2074.5,4377.75
2015-03-18,2100.5,4427.25
2015-03-19,2090.5,4429.5
2015-03-20,2101.25,4461.25
2015-03-23,2094.75,4436.75
2015-03-24,2085.0,4429.0
2015-03-25,2053.75,4323.5
2015-03-26,2048.5,4310.75
2015-03-27,2052.5,4325.75
2015-03-30,2075.5,4372.5
2015-03-31,2060.75,4329.5
2015-04-01,2053.0,4313.0
2015-04-02,2059.5,4307.25
2015-04-06,2073.25,4342.25
2015-04-07,2067.75,4334.0
2015-04-08,2076.0,4374.75
2015-04-09,2085.75,4399.25
2015-04-10,2095.5,4414.75
2015-04-13,2086.5,4403.25
2015-04-14,2091.0,4397.75
2015-04-15,2099.75,4421.75
2015-04-16,2100.75,4415.25
2015-04-17,2075.5,4349.0
2015-04-20,2091.0,4407.5
2015-04-21,2091.0,4428.5
2015-04-22,2100.25,4445.25
2015-04-23,2107.0,4481.5
2015-04-24,2111.75,4529.25
2015-04-27,2104.75,4524.75
2015-04-28,2112.0,4516.0
2015-04-29,2099.0,4479.75
2015-04-30,2079.0,4408.25
2015-05-01,2101.5,4467.75
2015-05-04,2109.25,4476.5
2015-05-05,2084.0,4407.5
2015-05-06,2074.25,4373.0
2015-05-07,2084.25,4402.5
2015-05-08,2108.5,4448.75
2015-05-11,2097.75,4431.25
2015-05-12,2095.0,4420.75
2015-05-13,2094.5,4423.75
2015-05-14,2117.5,4490.25
2015-05-15,2119.0,4488.75
2015-05-18,2126.0,4507.25
2015-05-19,2124.5,4501.25
2015-05-20,2122.5,4505.5
2015-05-21,2128.0,4528.75
2015-05-22,2124.5,4528.75
2015-05-26,2105.0,4479.75
2015-05-27,2121.0,4542.25
2015-05-28,2121.75,4542.75
2015-05-29,2106.0,4511.0
2015-06-01,2109.25,4521.5
2015-06-02,2106.75,4503.0
2015-06-03,2116.0,4527.5
2015-06-04,2099.0,4496.5
2015-06-05,2092.25,4481.5
2015-06-08,2078.25,4432.25
2015-06-09,2080.0,4431.5
2015-06-10,2107.0,4488.75
2015-06-11,2109.25,4490.5
2015-06-12,2093.0,4454.75
2015-06-15,2084.0,4435.5
2015-06-16,2097.5,4459.0
2015-06-17,2097.5,4461.25
2015-06-18,2123.0,4538.0
2015-06-19,2118.5,4531.0
2015-06-22,2112.75,4532.75
2015-06-23,2116.5,4541.25
2015-06-24,2099.5,4515.75
2015-06-25,2094.0,4509.25
2015-06-26,2095.75,4480.5
2015-06-29,2050.5,4378.0
2015-06-30,2054.5,4390.25
2015-07-01,2071.0,4422.0
2015-07-02,2068.75,4428.75
2015-07-06,2064.5,4422.75
2015-07-07,2073.75,4422.25
2015-07-08,2039.25,4346.5
2015-07-09,2041.25,4339.5
2015-07-10,2069.0,4408.25
2015-07-13,2094.5,4488.0
2015-07-14,2102.0,4517.5
2015-07-15,2104.25,4536.5
